secid,date,days,volatility,ticker,index_flag
101310,09/29/2020,122,0.367111,AMZN,0
101310,09/29/2020,152,0.361579,AMZN,0
101310,09/29/2020,182,0.371991,AMZN,0
101310,09/29/2020,273,0.401078,AMZN,0
101310,09/29/2020,365,0.355329,AMZN,0
101310,09/29/2020,547,0.316266,AMZN,0
101310,09/29/2020,730,0.354734,AMZN,0
101310,09/29/2020,1825,0.300276,AMZN,0
101310,09/30/2020,10,0.453465,AMZN,0
101310,09/30/2020,14,0.443048,AMZN,0
101310,09/30/2020,30,0.437417,AMZN,0
101310,09/30/2020,60,0.36261,AMZN,0
101310,09/30/2020,91,0.3936,AMZN,0
101310,09/30/2020,122,0.364958,AMZN,0
101310,09/30/2020,152,0.338494,AMZN,0
101310,09/30/2020,182,0.37022,AMZN,0
101310,09/30/2020,273,0.400014,AMZN,0
101310,09/30/2020,365,0.355322,AMZN,0
101310,09/30/2020,547,0.316264,AMZN,0
101310,09/30/2020,730,0.354734,AMZN,0
101310,09/30/2020,1825,0.300129,AMZN,0
101310,10/01/2020,10,0.458544,AMZN,0
101310,10/01/2020,14,0.429722,AMZN,0
101310,10/01/2020,30,0.443149,AMZN,0
101310,10/01/2020,60,0.362529,AMZN,0
101310,10/01/2020,91,0.395883,AMZN,0
101310,10/01/2020,122,0.366237,AMZN,0
101310,10/01/2020,152,0.338248,AMZN,0
101310,10/01/2020,182,0.371165,AMZN,0
101310,10/01/2020,273,0.399718,AMZN,0
101310,10/01/2020,365,0.35557,AMZN,0
101310,10/01/2020,547,0.316737,AMZN,0
101310,10/01/2020,730,0.354853,AMZN,0
101310,10/01/2020,1825,0.300162,AMZN,0
101310,10/02/2020,10,0.406356,AMZN,0
101310,10/02/2020,14,0.453414,AMZN,0
101310,10/02/2020,30,0.449499,AMZN,0
101310,10/02/2020,60,0.367822,AMZN,0
101310,10/02/2020,91,0.397848,AMZN,0
101310,10/02/2020,122,0.37066,AMZN,0
101310,10/02/2020,152,0.340569,AMZN,0
101310,10/02/2020,182,0.374065,AMZN,0
101310,10/02/2020,273,0.401176,AMZN,0
101310,10/02/2020,365,0.357059,AMZN,0
